Rank	Artist Name	Artist ID	Artist Popularity	Artist Followers	Track Title	Track ID	Track Popularity	Danceability	Energy	Key	Loudness	Mode	Speechiness	Acousticness	Instrumentalness	Liveness	Valence	Tempo	Duration ms	Time Signature
1	The Weeknd	1Xyo4u8uXC1ZmMpatF05PJ	98	28952881	Blinding Lights	0VjIjW4GlUZAMYd2vXMi3b	95	0.514	0.73	1.0	-5.934	1.0	0.0598	0.00146	9.54e-05	0.0897	0.334	171.005	200040.0	4.0
2	Tones And I	2NjfBq1NflQcKSeiDooVjY	83	2612137	Dance Monkey	1rgnBhdG2JDFTbYkYRZAku	68	0.825	0.593	6.0	-6.401	0.0	0.0988	0.688	0.000161	0.17	0.54	98.078	209755.0	4.0
3	Roddy Ricch	757aE44tKEUQEqRuT6GnEB	89	5498084	The Box	0nbXyq5TXYPCO7pr3N8S4I	87	0.896	0.586	10.0	-6.687	0.0	0.0559	0.104	0.0	0.79	0.642	116.971	196653.0	4.0
4	SAINt JHN	0H39MdGGX6dbnnQPt6NQkZ	82	653136	Roses - Imanbek Remix	2Wo6QQD1KMDWeFkkjLqwx5	66	0.785	0.721	8.0	-5.457	1.0	0.0506	0.0149	0.00432	0.285	0.894	121.962	176219.0	4.0
5	Dua Lipa	6M2wZ9GZgrQXHCFfjv46we	95	22810661	Don't Start Now	3PfIrDoz19wz7qK7tYeu62	83	0.793	0.793	11.0	-4.521	0.0	0.083	0.0123	0.0	0.0951	0.679	123.95	183290.0	4.0
6	DaBaby	4r63FhuTkUYltbVAg5TQnk	94	5855629	ROCKSTAR (feat. Roddy Ricch)	7ytR5pFWmSjzHJIeQkgog4	89	0.746	0.69	11.0	-7.956	1.0	0.164	0.247	0.0	0.101	0.497	89.977	181733.0	4.0
7	Harry Styles	6KImCVD70vtIoJWnq6nGn3	91	12730215	Watermelon Sugar	6UelLqGlWMcVH1E5c4H7lY	89	0.548	0.816	0.0	-4.209	1.0	0.0465	0.122	0.0	0.335	0.557	95.39	174000.0	4.0
8	Powfu	6bmlMHgSheBauioMgKv2tn	81	791948	death bed (coffee for your head)	7eJMfftS33KTjuF7lTsMCx	87	0.726	0.431	8.0	-8.765	0.0	0.135	0.731	0.0	0.696	0.348	144.026	173333.0	4.0
9	Trevor Daniel	7uaIm6Pw7xplS8Dy06V6pT	79	565783	Falling	2rRJrJEo19S2J82BDsQ3F7	76	0.784	0.43	10.0	-8.756	0.0	0.0364	0.123	0.0	0.0887	0.236	127.087	159382.0	4.0
10	Lewis Capaldi	4GNC7GD6oZMSxPGyXy4MNB	87	6950925	Someone You Loved	7qEHsqek33rTcFNT9PFqLf	89	0.501	0.405	1.0	-5.679	1.0	0.0319	0.751	0.0	0.105	0.446	109.891	182161.0	4.0
11	KAROL G	790FomKkXshlbRYZFtlgla	90	14921014	Tusa	7k4t7uLgtOxPwTpFmtJNTY	85	0.803	0.715	2.0	-3.28	1.0	0.298	0.295	0.000134	0.0574	0.574	101.085	200960.0	4.0
12	Arizona Zervas	0vRvGUQVUjytro0xpb26bs	77	573119	ROXANNE	696DnlkuDOXcMAnKlTgXXK	84	0.621	0.601	6.0	-5.616	0.0	0.148	0.0522	0.0	0.46	0.457	116.735	163636.0	5.0
13	Post Malone	246dkjvS1zLTtiykXe5h60	93	31188668	Circles	21jGcNKet2qwijlDFuPiPb	87	0.695	0.762	0.0	-3.497	1.0	0.0395	0.192	0.00244	0.0863	0.553	120.042	215280.0	4.0
14	Lil Mosey	5zctI4wO9XSKS8XwcnqEHk	84	3338739	Blueberry Faygo	22LAwLoDA5b4AaGSkg6bKW	81	0.774	0.554	0.0	-7.909	1.0	0.0383	0.207	0.0	0.132	0.349	99.034	162547.0	4.0
15	Justin Bieber	1uNFoZAHBGtllmzznpCI3s	96	42436109	Intentions (feat. Quavo)	4umIPjkehX1r7uhmGvXiSV	79	0.806	0.546	9.0	-6.637	1.0	0.0575	0.3	0.0	0.102	0.874	147.986	212867.0	4.0
16	Drake	3TVXtAsR1Inumwj472S9r4	98	52914288	Toosie Slide	466cKvZn1j45IpxDdYZqdA	76	0.83	0.49	1.0	-8.82	0.0	0.209	0.289	3.04e-06	0.113	0.845	81.604	247059.0	4.0
17	Lewis Capaldi	4GNC7GD6oZMSxPGyXy4MNB	87	6950925	Before You Go	2gMXnyrvIjhVBUZwvLZDMP	84	0.459	0.575	3.0	-4.858	1.0	0.0573	0.604	0.0	0.0885	0.183	111.881	215107.0	4.0
18	Doja Cat	5cj0lLjcoR7YOSnhnX0Po5	91	5318581	Say So	3Dv1eDb0MEgF93GpLXlucZ	84	0.787	0.673	11.0	-4.577	0.0	0.158	0.256	3.57e-06	0.0904	0.786	110.962	237893.0	4.0
19	Maroon 5	04gDigrS5kc9YWfZHwBETP	90	29401446	Memories	2b8fOow8UzyDFAE27YhOZM	86	0.764	0.32	11.0	-7.209	1.0	0.0546	0.837	0.0	0.0822	0.575	91.019	189486.0	4.0
20	Future	1RyvyyTE3xzB2ZywiAwp0i	91	9869219	Life Is Good (feat. Drake)	1K5KBOgreBi5fkEHvg5ap3	76	0.795	0.574	2.0	-6.903	0.0	0.487	0.067	0.0	0.15	0.537	142.053	237918.0	4.0
21	Jawsh 685	56mfhUDKa1vec6rSLZV5Eg	79	77641	Savage Love (Laxed - Siren Beat)	1xQ6trAsedVPCdbtDAmk0c	86	0.767	0.481	0.0	-8.52	0.0	0.0803	0.234	0.0	0.269	0.761	150.076	171375.0	4.0
22	Harry Styles	6KImCVD70vtIoJWnq6nGn3	91	12730215	Adore You	3jjujdWJ72nww5eGnfs2E7	85	0.676	0.771	8.0	-3.675	1.0	0.0483	0.0237	7e-06	0.102	0.569	99.048	207133.0	4.0
23	Topic	0u6GtibW46tFX7koQ6uNJZ	82	126580	Breaking Me	3H7ihDc1dqLriiWXwsc2po	87	0.789	0.72	8.0	-5.652	0.0	0.218	0.223	0.0	0.129	0.664	122.031	166794.0	4.0
